ACCTCY-2010:  Introduction to Accounting
HIST-4440:  History of the American Environment
HIST-4445:  American Political Economy from the Commerce Clause to the Great Recession
HIST-4445W:  American Political Economy from the Commerce Clause to the Great Recession - Writing Intensive
HIST-4500:  Philip II and Alexander the Great of Macadonia
HIST-4510:  Crime and Punishment: Law in Classical Athens
HIST-4520:  The Rise and Fall of the Roman Republic
HIST-4520H:  The Rise and Fall of the Roman Republic - Honors
HIST-4530:  The Roman Empire
HIST-4530H:  The Roman Empire - Honors
HIST-4535:  Monastic Worlds
HIST-4540:  The Later Roman Empire
HIST-4540H:  The Later Roman Empire - Honors
HIST-4550:  Age of the Vikings
HIST-4550W:  Age of the Vikings - Writing Intensive
HIST-4560:  The Crusades
HIST-4580:  The "Making" of Modern Europe: Identity, Culture, Empire
HIST-4585:  Rome from Fascism to Liberation, 1922-1944
HIST-4605:  Spain in the Age of Empire, 1450-1750
HIST-4605H:  Spain in the Age of Empire, 1450-1750 - Honors
HIST-4615:  Empire's Crossroads: Britain and the Middle East
HIST-4620:  Modern England
HIST-4625:  Nature vs. Nurture: The History of a Debate
HIST-4630:  The Age of the Renaissance
HIST-4630H:  The Age of the Renaissance - Honors
HIST-4640:  The Age of the Reformation
HIST-4640H:  The Age of the Reformation - Honors
HIST-4645:  Witchcraft and Witch Hunting in Pre-Modern Europe
HIST-4645H:  Witchcraft and Witch Hunting in Pre-Modern Europe - Honors
HIST-4650:  Revolutionary France, 1789-1815
HIST-4650H:  Revolutionary France, 1789-1815 - Honors
HIST-4660:  Gender, War, and Migration: Europe, 1914 to the Present
HIST-4680:  From the Rise of the Nazis to the Fall of the Wall: German History in the Twentieth Century
HIST-4685:  The Holocaust
HIST-4685H:  The Holocaust - Honors
HIST-4700:  Imperial Russia, 1682-1825
HIST-4710:  The Russian Revolution
HIST-4800:  Modern China and Japan: War, Imperialism and Memory
HIST-4815:  African History Through the Digital Medium
HIST-4815W:  African History Through the Digital Medium - Writing Intensive
HIST-4821:  Constitutionalism in the Americas
HIST-4821W:  Constitutionalism in the Americas - Writing Intensive
HIST-4825:  Africa from the Slave Trade to Independence
HIST-4835:  Race and Politics in South Africa
HIST-4835H:  Race and Politics in South Africa - Honors
HIST-4860:  Colonial Masculinity/Colonial Frontier
HIST-4865:  Buying Desire: History of Consumption
HIST-4870:  Southeast Asia Since the Eighteenth Century
HIST-4880:  Chinese Migration: From Yellow Peril to Model Minority
HIST-4900:  Beltway History: American Constitutional Democracy in Theory and Practice
HIST-4904:  Historical and Contemporary Slavery
HIST-4910:  History in the Public: An Introduction to the Theory and Practice of Public History
HIST-4910W:  History in the Public An Introduction to the Theory & Practice of Public History - Writing Intensive
HIST-4940:  Internship in History
HIST-4950:  Research in History
HIST-4955:  Research in Public History
HIST-4956:  Honors Research in Public History
HIST-4970:  Undergraduate Seminar in Third World History
HIST-4970W:  Undergraduate Seminar in Third World History - Writing Intensive
HIST-4971:  Undergraduate Seminar in European History
HIST-4971W:  Undergraduate Seminar in European History - Writing Intensive
HIST-4972:  Undergraduate Seminar in American History
HIST-4972W:  Undergraduate Seminar in American History - Writing Intensive
HIST-4975:  Journal on Constitutional Democracy
HIST-4975H:  Journal on Constitutional Democracy - Honors
HIST-4980:  Undergraduate Thesis in History
HIST-4981:  Undergraduate Thesis in History
HIST-4981W:  Undergraduate Thesis in History - Writing Intensive
HIST-4995:  Honors Thesis in History
HIST-4995W:  Honors Thesis in History - Writing Intensive
HIST-4996:  Honors Thesis in History
HIST-4996W:  Honors Thesis in History - Writing Intensive
HIST-7000:  Age of Jefferson
HIST-7004:  Topics in History - Social Science
HIST-7010:  The Age of Jackson
HIST-7040:  Slavery and the Crisis of the Union: The American Civil War Era
HIST-7060:  The Period of the American Revolution, 1760-1789
HIST-7070:  Indians and Europeans in Early America
HIST-7100:  American Cultural and Intellectual History to 1865
HIST-7220:  U.S. Society Between the Wars 1918-1945
HIST-7230:  Our Times: United States Since 1945
HIST-7232:  White Collar and Celebrity Crime in 20th and 21st Century America
HIST-7235:  The Wire: Race, Urban Inequality, and the "Crisis" of the American City
HIST-7260:  The Age of Ascendancy: U.S. Foreign Relations, 1945-Present
HIST-7270:  African-Americans in the Twentieth Century
HIST-7280:  America in the Reagan Years
HIST-7290:  Innovation in 20th and 21st Century America
HIST-7303:  Black Studies in Race, Class, Gender and US Policy
HIST-7310:  Adoption Child Welfare and the Family, 1850-present
HIST-7400:  History of American Law
HIST-7415:  African Americans and American Justice
HIST-7440:  History of the American Environment
HIST-7500:  Philip II and Alexander the Great of Macedonia
HIST-7510:  Crime and Punishment: Law in Classical Athens
HIST-7520:  The Rise and Fall of the Roman Republic
HIST-7530:  The Roman Empire
HIST-7540:  The Later Roman Empire
HIST-7550:  Age of the Vikings
HIST-7560:  The Crusades
HIST-7580:  The "Making" of Modern Europe: Identity, Culture, Empire
HIST-7605:  Spain in the Age of Empire, 1450-1750
HIST-7615:  Empire's Crossroads: Britain and the Middle East
HIST-7620:  Modern England
HIST-7625:  Nature vs. Nurture: The History of a Debate
HIST-7630:  The Age of the Renaissance
HIST-7640:  The Age of the Reformation
HIST-7645:  Witchcraft and Witch Hunting in Pre-Modern Europe
HIST-7650:  Revolutionary France, 1789-1851
HIST-7680:  From the Rise of the Nazis to the Fall of the Wall: German History in the Twentieth Century
HIST-7685:  The Holocaust
HIST-7700:  Imperial Russia, 1682-1825
HIST-7710:  The Russian Revolution
HIST-7800:  Modern China and Japan: War, Imperialism and Memory
HIST-7821:  Constitutionalism in the Americas
HIST-7825:  Africa from the Slave Trade to Independence
HIST-7835:  Race and Politics in South Africa
HIST-7865:  Buying Desire: History of Consumption
HIST-7880:  Chinese Migration: From Yellow Peril to Model Minority
HIST-7910:  History in the Public: An Introduction to the Theory and Practice of Public History
HIST-7940:  Internship in History
HIST-7990:  Economic Analysis of Policy & Regulation
HIST-8000:  Studies in American Colonial History
HIST-8001:  Seminar in the History of Colonial America
HIST-8004:  Topics in History-General
HIST-8010:  Studies in American Religious History, 1750-1850
HIST-8020:  Seminar in the Early American Republic
HIST-8021:  Studies in the Early American Republic
HIST-8030:  Studies in Sectional Controversy, Civil War and Reconstruction
HIST-8040:  Seminar in Imperial History
HIST-8041:  The Making of the Atlantic World
HIST-8042:  From the Age of Revolutions to the Age of Nation-States, 1760-1900
HIST-8045:  Atlantic History and Politics
HIST-8050:  Britain and the World
HIST-8060:  Kinder Institute Colloquia
HIST-8080:  Maximizing Graduate Studies in History
HIST-8085:  Problems in History
HIST-8089:  Masters Research in History
HIST-8090:  Masters Research in History
HIST-8210:  Studies in Recent United States History
HIST-8211:  Seminar in Recent United States History
HIST-8405:  Studies in Gender
HIST-8406:  The Politics of the Body in Historical Perspective
HIST-8410:  Independent Readings for History Ph.D. Comprehensive Examination
HIST-8415:  Studies in African-American History
HIST-8416:  Seminar in African-American History
HIST-8440:  Studies in American Western and Environmental History
HIST-8450:  Studies in the History of the South
HIST-8455:  Studies in the History of American Diplomacy
HIST-8457:  Studies in the History of the United States and the World
HIST-8460:  Studies in Trans-Atlantic History
HIST-8480:  Historiography
HIST-8531:  Studies in English History
HIST-8540:  Seminar in Medieval Culture
HIST-8541:  Studies in Medieval History
HIST-8542:  Seminar in Medieval Paleography
HIST-8550:  Seminar in the Renaissance and Reformation
HIST-8551:  Studies in Early Modern European History
HIST-8565:  Studies in the History of Medicine
HIST-8570:  Studies in Modern European History
HIST-8571:  Seminar in Modern European History
HIST-8800:  Studies in Latin American History
HIST-8810:  Studies in the Global Cold War
HIST-9090:  PhD Research in History
GN_HON-1010H:  Career Explorations
GN_HON-1030H:  Honors Discussion Groups
GN_HON-1050H:  Honors Seminar
GN_HON-1070H:  Honors Elective Colloquium
GN_HON-1080H:  Honors Internship
GN_HON-2010H:  Honors Tutorial
GN_HON-2011H:  Unbound: Reading Without Limits
GN_HON-2015H:  Theory and Practice of Tutoring Writing Seminar
GN_HON-2015HW:  Theory and Practice of Tutoring Writing Seminar - Honors/Writing Intensive
GN_HON-2085H:  Honors Independent Study
GN_HON-2111H:  Epic Destinies, Individual Journeys
GN_HON-2111HW:  Epic Destinies, Individual Journeys - Honors/Writing Intensive
GN_HON-2112H:  Here Be Monsters
GN_HON-2112HW:  Here Be Monsters - Honors/Writing Intensive
GN_HON-2113H:  Reasonable Devils and Dark Visions
GN_HON-2114H:  Diagnosing the Dark
GN_HON-2114HW:  Diagnosing the Dark - Honors/Writing Intensive
GN_HON-2120H:  Honors Humanities Seminar
GN_HON-2230H:  Honors Social Science Seminar
GN_HON-2230HW:  Honors Social Science Seminar- Honors/Writing Intensive
GN_HON-2243H:  Behavioral Sciences Sequence I: Personal Identity
GN_HON-2244H:  Behavioral Sciences Sequence II: Social Relations
GN_HON-2245H:  Revolutions
GN_HON-2246H:  Global Citizenship
GN_HON-2246HW:  Global Citizenship - Honors/Writing Intensive
GN_HON-2310H:  Honors Behavioral Science Seminar
GN_HON-2452H:  Honors Biological Science Seminar
GN_HON-2453H:  Introduction to Research
GN_HON-2456H:  Honors Math (Computer Science) Science Seminar
GN_HON-2457H:  Honors Physical Science Seminar
GN_HON-2461H:  Environment: From Molecules to the Cosmos
GN_HON-2462H:  Energy: From Particles to Civilizations
GN_HON-2950H:  Honors Research
GN_HON-3120H:  Honors Humanities Seminar
GN_HON-3120HW:  Honors Humanities Seminar- Honors/Writing Intensive
GN_HON-3210H:  Honors Behavioral Seminar
GN_HON-3210HW:  Honors Behavioral Colloquium - Honors/Writing Intensive
GN_HON-3230H:  Honors Social Science Seminar
GN_HON-3230HW:  Honors Social Science Seminar- Honors/Writing Intensive
GN_HON-3242H:  The Future Is Indigenous! - Honors
GN_HON-3242HW:  The Future Is Indigenous! - Honors/Writing Intensive
GN_HON-3452H:  Honors Biological Science Seminar
GN_HON-3456H:  Honors Math (Computer Sci.) Science Seminar
GN_HON-3457H:  Honors Physical Science Seminar
GN_HON-4050H:  Honors College Cooperative Education Program
GN_HON-4070H:  Advanced Honors Elective Colloquium
GN_HON-4070HW:  Advanced Honors Elective Colloquium - Writing Intensive
GN_HON-4950H:  Honors Research
HSP_MGMT-1100:  Introduction to Hospitality Management
HSP_MGMT-1991:  Food Safety and Sanitation in the Foodservice Industry
HSP_MGMT-2100:  Hospitality Law
HSP_MGMT-2115:  Club Management and Operations
HSP_MGMT-2190:  Seminar in Professional Development
HSP_MGMT-2200:  Fundamentals of Conference and Events Industry
HSP_MGMT-2300:  Fundamentals of the Food and Beverage Industry
HSP_MGMT-2400:  Fundamentals of Lodging Industry
HSP_MGMT-2500:  Fundamentals of Sport Venue Industry
HSP_MGMT-3100:  Guest Service Management
HSP_MGMT-3104:  Topics in Hospitality Management
HSP_MGMT-3105:  Problems in Hospitality Management
HSP_MGMT-3115:  Management of Gaming Operations
HSP_MGMT-3200:  Event Planning Management
HSP_MGMT-3300:  Food Production Management
HSP_MGMT-3310:  Food Service Budgeting and Controls
HSP_MGMT-3315:  Banquet and Catering Management
HSP_MGMT-3320:  Beverage Management
HSP_MGMT-3400:  Hotel and Lodging Operations and Management
HSP_MGMT-3420:  Technology Applications in the Lodging Industry
HSP_MGMT-3500:  Sport Venue Operation Management
HSP_MGMT-3993:  Field Training in Hospitality Management
HSP_MGMT-4100:  Hospitality Human Resources Management
HSP_MGMT-4100W:  Hospitality Human Resources Management - Writing Intensive
HSP_MGMT-4110:  Hospitality and Tourism Marketing
HSP_MGMT-4180:  Strategic Management in the Hospitality Industry
HSP_MGMT-4190:  Trends in Hospitality Management
HSP_MGMT-4200:  Destination Management
HSP_MGMT-4280W:  Special Events Management - Writing Intensive
HSP_MGMT-4380W:  Managing Food Service Businesses - Writing Intensive
HSP_MGMT-4400:  Hospitality Finance Management
HSP_MGMT-4480W:  Advanced Lodging Management - Writing Intensive
HSP_MGMT-4500:  Management and Promotion of Live Entertainment
HSP_MGMT-4515:  The Business of Sport Venue Management
HSP_MGMT-4580W:  Sport Venue and Facility Management - Writing Intensive
HSP_MGMT-4600:  Hospitality Facilities Management
HSP_MGMT-4780W:  Advanced Hospitality Management - Writing Intensive
HSP_MGMT-4945:  Experiential Learning in Industry Internship in Hospitality Management
HSP_MGMT-4993:  Internship in Hospitality Management
HSP_MGMT-7100:  Hospitality Human Resources Management
HSP_MGMT-7110:  Hospitality and Tourism Marketing
HSP_MGMT-7180:  Strategic Management in the Hospitality Industry
HSP_MGMT-7200:  Destination Management
HSP_MGMT-7400:  Hospitality Finance Management
H_D_FS-1234:  Successful Adulting
H_D_FS-1600:  Foundations of Family Science
H_D_FS-1610:  Intimate Relationships and Marriage
H_D_FS-2200:  Research Methods in Human Development and Family Science
H_D_FS-2200H:  Research Methods in Human Development and Family Science - Honors
H_D_FS-2250:  Child Life Volunteer Experience
H_D_FS-2300:  Multicultural Study of Children and Families
H_D_FS-2400:  Principles of Human Development
H_D_FS-2400H:  Principles of Human Development - Honors
H_D_FS-2400HW:  Principles of Human Development - Honors/Writing Intensive
H_D_FS-2400W:  Principles of Human Development - Writing Intensive
H_D_FS-2450:  Human Sexuality Across the Life Span
H_D_FS-2510:  Observation, Assessment, and Curriculum Planning
H_D_FS-3050:  Child Development: Infancy and Toddlerhood
H_D_FS-3085:  Problems in Human Development and Family Science
H_D_FS-3090:  Research Experience in Human Development and Family Science
H_D_FS-3090H:  Research Experience in Human Development and Family Science - Honors
H_D_FS-3150:  Child Development: Preschool to Pre-Adolescence
H_D_FS-3150W:  Child Development: Preschool to Pre-Adolescence - Writing Intensive
H_D_FS-3250:  Introduction to Early Childhood Education in a Mobile Society
H_D_FS-3350:  Child Guidance and Classroom Environments
H_D_FS-3430:  Adolescence and Young Adulthood
H_D_FS-3430H:  Adolescence and Young Adulthood - Honors
H_D_FS-3440:  Adulthood and Aging
H_D_FS-3450:  Health, Safety and Nutrition
H_D_FS-3500:  Infant-Toddler Practicum
H_D_FS-3500H:  Infant-Toddler Practicum - Honors
H_D_FS-3530:  Foundations of Community-Based Programs for Children and Youth
H_D_FS-3550:  Technology and Young Children
H_D_FS-3600:  Partnering with Parents and Families
H_D_FS-3650:  Diversity in the Lives of Young Children and Families
H_D_FS-3700:  Preschool Practicum
H_D_FS-3720:  Student Teaching Prekindergarten
H_D_FS-3730:  Field Training Practicum
H_D_FS-3750:  Working with Families
H_D_FS-3800:  Children's Play
H_D_FS-3950:  Practicum I: Child Observations in Classroom Environment
H_D_FS-3960:  Readings in Human Development and Family Science
H_D_FS-3960H:  Readings in Human Development and Family Science - Honors
H_D_FS-4001:  Topics in Human Development and Family Science
H_D_FS-4085:  Problems in Human Development and Family Science
H_D_FS-4090:  Advanced Research in Human Development and Family Science
H_D_FS-4090H:  Advanced Research in Human Development and Family Science - Honors
H_D_FS-4100:  Children in Healthcare Settings
H_D_FS-4110:  Child Life Theory and Practice
H_D_FS-4130:  Child Life Practicum
H_D_FS-4150:  Development of Curriculum for Children Ages Birth to 3
H_D_FS-4200:  Latino/a Children, Youth, and Families
H_D_FS-4250:  Development of Curriculum for Children 4-8
H_D_FS-4300:  Black Families
H_D_FS-4350:  Assessing Young Children and their Environments
H_D_FS-4400:  Childhood Death and Bereavement
H_D_FS-4450:  Understanding and Adapting for Developmental Differences
H_D_FS-4550:  Practicum II: Curriculum Development and Implementation
H_D_FS-4570:  Administration of Programs for Children and Families
H_D_FS-4610:  Stress and Resilience in Families
H_D_FS-4620:  Family Interaction
H_D_FS-4640:  Interpersonal Relationships
H_D_FS-4650:  Administration/Supervision in Early Childhood Settings
H_D_FS-4680:  Family Communication
H_D_FS-4700:  Children and Families in Poverty
H_D_FS-4720:  Child and Family Advocacy
H_D_FS-4720H:  Child and Family Advocacy - Honors
H_D_FS-4750:  Practicum III:  Capstone Experience
H_D_FS-4887:  Experiential Learning Internship in Human Development and Family Science
H_D_FS-4970:  Human Development and Family Science Capstone
H_D_FS-4970W:  Human Development and Family Science Capstone - Writing Intensive
H_D_FS-4971:  Child Development and Education Capstone
H_D_FS-4993:  Internship in Human Development and Family Science
H_D_FS-7001:  Topics in Human Development and Family Science
H_D_FS-7085:  Problems
H_D_FS-7200:  Latino Families and Youth
H_D_FS-7210:  Youth-Adult Relationships
H_D_FS-7231:  Foundations of Youth Development
H_D_FS-7233:  Basic Grant Development and Management
H_D_FS-7252:  Adult Development
H_D_FS-7255:  Aging Policy
H_D_FS-7256:  Environments and Aging
H_D_FS-7257:  Aging and the Family
H_D_FS-7259:  Mental Health and Aging
H_D_FS-7260:  Women and Aging
H_D_FS-7261:  Biological Principles of Aging
H_D_FS-7262:  Long-Term Care Administration
H_D_FS-7300:  Black Families
H_D_FS-7570:  Administration of Programs for Children and Families
H_D_FS-7600:  Resilience in Families
H_D_FS-7610:  Stress and Resilience in Families
H_D_FS-7630:  The Process of Divorce
H_D_FS-7640:  Interpersonal Relationships
H_D_FS-7650:  Family Crisis Intervention
H_D_FS-7690:  Family Resource Management
H_D_FS-8001:  Topics in Human Development and Family Science
H_D_FS-8012:  Family Dynamics and Intervention
H_D_FS-8085:  Problems in Human Development and Family Science
H_D_FS-8087:  Seminar in Human Development and Family Science
H_D_FS-8090:  Research in Human Development and Family Science
H_D_FS-8100:  Foundations and Principles of Family and Community Services
H_D_FS-8110:  Developmental Perspectives on Health and Illness
H_D_FS-8200:  Research Methods in Human Development and Family Science
H_D_FS-8210:  Theories of Human Development
H_D_FS-8220:  Family Theories
H_D_FS-8221:  Gerontechnology
H_D_FS-8222:  Creativity and Aging
H_D_FS-8232:  Youth Professionals as Consumers of Research
H_D_FS-8234:  Adolescents and their Families
H_D_FS-8235:  Administration and Program Management
H_D_FS-8236:  Federal and State Policies that Impact Youth Development
H_D_FS-8237:  Youth Cultures and the Cultures of Youth
H_D_FS-8238:  Program Design, Implementation and Evaluation
H_D_FS-8239:  Positive Youth Development in Community Settings
H_D_FS-8240:  Youth Development
H_D_FS-8251:  Perspectives in Gerontology
H_D_FS-8253:  Physical Health in Aging
H_D_FS-8254:  Gerontology Research Methods and Program Evaluation
H_D_FS-8258:  Professional Seminar in Gerontology
H_D_FS-8300:  Advanced Seminar on Multicultural Families
H_D_FS-8410:  Infancy and Childhood
H_D_FS-8420:  Cognitive Development
H_D_FS-8440:  Social and Emotional Development
H_D_FS-8450:  Adolescence and Emerging Adulthood
H_D_FS-8460:  Life Course Perspective
H_D_FS-8500:  Prosocial and Moral Development
H_D_FS-8510:  Parenting Education
H_D_FS-8520:  Lifespan Development
H_D_FS-8610:  Remarriage & Stepfamilies: Development, Dynamics, & Intervention
H_D_FS-8630:  Gendered Relations in Families
H_D_FS-8640:  Family Interaction
H_D_FS-8710:  Children, Families and Public Policy
H_D_FS-8770:  Poverty
H_D_FS-8960:  Readings in Human Development and Family Science
H_D_FS-8972:  Internship in Human Development and Family Science
H_D_FS-9090:  Research in Human Development and Family Science
H_D_FS-9100:  Teaching Practicum
H_D_FS-9200:  Advanced Research Methods and Grant-writing in Human Development and Family Science
H_D_FS-9210:  Research Practicum in Human Development and Family Science
H_D_FS-9300:  Application of Advanced Statistics in Human Development and Family Science
H_D_FS-9420:  Qualitative Methods
IMSE-1000:  Introduction to Industrial Engineering
IMSE-2030:  Fundamentals of Systems Design and Analysis
IMSE-2110:  Probability and Statistics for Engineers
IMSE-2210:  Linear Algebra for Engineers
IMSE-2710:  Engineering Economic Decision-Making
IMSE-3030:  Manufacturing and Supply Systems
IMSE-3110:  Probability Models for Engineers
IMSE-3110H:  Probability Models for Engineers - Honors
IMSE-3500:  Introduction to Manufacturing Methods
IMSE-3505:  Computer Aided Design and Manufacturing Processes Laboratory
IMSE-3810:  Ergonomics and Workstation Design
IMSE-3810W:  Ergonomics and Workstation Design - Writing Intensive
IMSE-4001:  Topics in Industrial and Manufacturing Systems Engineering
IMSE-4085:  Problems in Industrial Engineering
IMSE-4110:  Engineering Statistics
IMSE-4210:  Linear Optimization
IMSE-4220:  Optimization Modeling and Computational Methods
IMSE-4230:  Operations Research Models
IMSE-4280:  Systems Simulation
IMSE-4310:  Integrated Production Systems Design
IMSE-4330:  Material Flow and Logistics System Design
IMSE-4350:  Production and Operations Analysis
IMSE-4360:  Supply Chain Engineering
IMSE-4370:  Service Systems Engineering and Management
IMSE-4380:  Six Sigma Methodology
IMSE-4385:  Lean Six Sigma Green Belt Project
IMSE-4410:  Data Engineering and Predictive Modeling
IMSE-4420:  Web-Based Information Systems
IMSE-4500:  Introduction to Manufacturing Processes
IMSE-4550:  Computer Aided Design and Manufacturing
IMSE-4560:  Introduction to Rapid Prototyping
IMSE-4565:  Smart Manufacturing Systems
IMSE-4570:  Computer Integrated Manufacturing Control
IMSE-4580:  Industrial Energy Efficiency and Management
IMSE-4610:  Quality Engineering and Analytics
IMSE-4720:  Introduction to Life Cycle Analysis
IMSE-4750:  Entrepreneurial Innovation Management: Enterprise Conception
IMSE-4755H:  Entrepreneurial Innovation Management: Enterprise Conception-Honors
IMSE-4810:  Cognitive Ergonomics
IMSE-4910:  Industrial Engineering Internship
IMSE-4920:  Industrial Engineering COOP
IMSE-4970:  Capstone Design I
IMSE-4970W:  Capstone Design I - Writing Intensive
IMSE-4980:  Capstone Design II
IMSE-4980W:  Capstone Design II - Writing Intensive
IMSE-4990:  Undergraduate Research in Industrial Engineering
IMSE-4995:  Undergraduate Research Industrial Engineering - Honors
IMSE-4995H:  Undergraduate Research Industrial Engineering - Honors
IMSE-7001:  Topics in Industrial and Manufacturing Systems Engineering
IMSE-7110:  Engineering Statistics
IMSE-7210:  Linear Optimization
IMSE-7220:  Optimization Modeling and Computational Methods
IMSE-7230:  Operations Research Models
IMSE-7280:  Systems Simulation
IMSE-7310:  Integrated Production Systems Design
IMSE-7330:  Material Flow and Logistics System Design
IMSE-7350:  Production and Operations Analysis
IMSE-7360:  Supply Chain Engineering
IMSE-7370:  Service Systems Engineering and Management
IMSE-7380:  Six Sigma Methodology
IMSE-7385:  Lean Six Sigma Green Belt Project
IMSE-7410:  Data Engineering and Predictive Modeling
IMSE-7420:  Web-Based Information Systems
IMSE-7500:  Introduction to Manufacturing Processes
IMSE-7510:  CAD/CAM Laboratory
IMSE-7550:  Computer Aided Design and Manufacturing
IMSE-7560:  Introduction to Rapid Prototyping
IMSE-7565:  Smart Manufacturing Systems
IMSE-7570:  Computer Integrated Manufacturing Control
IMSE-7580:  Industrial Energy Efficiency and Management
IMSE-7610:  Quality Engineering and Analytics
IMSE-7720:  Introduction to Life Cycle Analysis
IMSE-7750:  Entrepreneurial Innovation Management: Advanced Enterprise Conception
IMSE-7810:  Cognitive Ergonomics and Decision Making
IMSE-8001:  Advanced Topics in Industrial & Manufacturing Systems Engineering
IMSE-8030:  Advanced Manufacturing and Supply Systems
IMSE-8085:  Problems in Industrial and Manufacturing Systems Engineering
IMSE-8087:  Industrial Engineering Graduate Seminar
IMSE-8110:  Design and Analysis of Engineering Experiments
IMSE-8210:  Linear and Network Optimization
IMSE-8220:  Nonlinear Optimization
IMSE-8230:  Stochastic Processes and Models
IMSE-8310:  Advanced Integrated Production Systems
IMSE-8370:  Supply Chain Modeling and Analysis
IMSE-8410:  Advanced Analytics with Engineering Applications
IMSE-8550:  Advanced CAD/CAM
IMSE-8560:  Advanced Manufacturing Technologies
IMSE-8730:  Strategic Enterprise Management
IMSE-8810:  Human Factors
IMSE-8990:  Research-Masters Thesis in Industrial Engineering
IMSE-9990:  Research-Doctoral Dissertation in Industrial Engineering
IS_LT-2222:  Information Management and the Successful Scholar
IS_LT-2467:  Inquiry into Empowering Learners with Technology
IS_LT-3450:  Introduction to Research in Educational Settings
IS_LT-4099:  Making and Education (3D printing)
IS_LT-4308:  Game Engine Skills
IS_LT-4310:  Seminar in Information Science and Learning Technologies
IS_LT-4355:  Web Design and Development
IS_LT-4356:  Interactive Web Design
IS_LT-4361:  Introduction to Digital Media
IS_LT-4373:  Exploring Moodle
IS_LT-4374:  Exploring Canvas
IS_LT-4375:  Mobile Web App Development
IS_LT-4383:  Rapid Development Tools for Online Learning
IS_LT-4384:  Designing Games for Learning
IS_LT-4385:  Designing Games for Learning II
IS_LT-4386:  Microlearning
IS_LT-4387:  Agile Project Management
IS_LT-4473:  Introduction to Project Management
IS_LT-4500:  Educational Studies Game Design Senior Capstone
IS_LT-4888:  Intro to VR-enabled Instructional Design
IS_LT-7099:  Making and Education
IS_LT-7301:  Introduction to Information Technology
IS_LT-7302:  Organization of Information
IS_LT-7305:  Foundations of Library and Information Science
IS_LT-7306:  School Library Early Field Experience
IS_LT-7307:  School Library Mid-Level Field Experience
IS_LT-7308:  Game Engine Skills
IS_LT-7310:  Seminar in Information Science and Learning Technology
IS_LT-7312:  Principles of Cataloging and Classification
IS_LT-7313:  Collection and Access Management
IS_LT-7314:  Reference Sources and Services
IS_LT-7315:  Management of Information Agencies
IS_LT-7320:  Emerging Technologies in Libraries
IS_LT-7355:  Web Design and Development
IS_LT-7356:  Interactive Web Design
IS_LT-7361:  Introduction to Digital Media
IS_LT-7366:  Technology Leadership
IS_LT-7373:  Exploring Moodle
IS_LT-7374:  Exploring Canvas
IS_LT-7375:  Mobile Web App Development
IS_LT-7378:  Electronic Portfolio Development
IS_LT-7380:  School Library Practicum
IS_LT-7381:  Practicum in Information Agencies
IS_LT-7383:  Rapid Development Tools for Online Learning
IS_LT-7384:  Designing Games for Learning
IS_LT-7386:  Microlearning
IS_LT-7888:  Intro to VR-enabled Instructional Design
IS_LT-9012:  Public Library Community Partnerships
IS_LT-9013:  Public Library Administration
IS_LT-9014:  Budgeting in Libraries
IS_LT-9085:  Problems in Information Science and Learning Technology
IS_LT-9090:  Research in Information Science and Learning Technologies
IS_LT-9334:  Library Information Systems
IS_LT-9403:  Gender Construction in Children's/Adolescent Literature and Media
IS_LT-9404:  School Library Administration
IS_LT-9405:  Sociocultural Aspects of Literacy
IS_LT-9406:  Curriculum and the School Library
IS_LT-9407:  Intellectual Freedom and Its Discontents
IS_LT-9408:  Information Policy
IS_LT-9409:  Seminar in Digital Libraries
IS_LT-9410:  Seminar in Information Science and Learning Technology
IS_LT-9411:  Doctoral Seminar in Information Science and Learning Technologies
IS_LT-9413:  Electronic Resource Management
IS_LT-9416:  Health and Medical Information and Services in Libraries
IS_LT-9417:  Action Research
IS_LT-9419:  American Library History
IS_LT-9420:  Scholarly Communication
IS_LT-9421:  Usability of Information Systems and Services
IS_LT-9423:  Ethics, Data, and Information
IS_LT-9426:  Diversity in the Information Professions
IS_LT-9427:  The Information Society
IS_LT-9428:  History of Books and Media
IS_LT-9429:  Metadata
IS_LT-9431:  Children's Library Materials
IS_LT-9433:  Youth Services in Libraries
IS_LT-9434:  Teen Library Materials
IS_LT-9435:  Adult Services in Libraries
IS_LT-9437:  Reader Advisory Services
IS_LT-9438:  Marketing and Libraries
IS_LT-9439:  Digital Humanities and Information
IS_LT-9443:  The Academic Library
IS_LT-9444:  The Public Library
IS_LT-9445:  Special Libraries and Information Centers
IS_LT-9446:  International and Comparative Librarianship
IS_LT-9447:  Human Centered Design
IS_LT-9448:  International Libraries in Context
IS_LT-9449:  Services for Business Communities and Entrepreneurs
IS_LT-9450:  Research Methods in Information Science and Learning Technologies
IS_LT-9452:  Information Literacy Instruction
IS_LT-9453:  Planning and Evaluation of Information Services
IS_LT-9454:  Copyright in Libraries
IS_LT-9455:  Formative and Summative Evaluation
IS_LT-9456:  Designing Computer Support for Collaborative Learning
IS_LT-9457:  Designing Computer Support for Cooperative Work
IS_LT-9458:  Technology and Assessment
IS_LT-9460:  Human Computer Interaction Research and Analysis
IS_LT-9461:  Interaction Design
IS_LT-9466:  Learning Analytics
IS_LT-9467:  Technology to Enhance Learning
IS_LT-9468:  Learning and Task Analysis
IS_LT-9469:  Designing Electronic Performance Support Systems
IS_LT-9470:  Computer Science for Educators
IS_LT-9471:  Instructional Systems Design
